84	27	14	12	31	2	7	2	14	5	4	2	3	2	2	4	3	16	1	3	11	254.00	51.19047619047619	25648.40
2463	554	608	691	610	136	165	101	107	95	125	140	217	159	143	220	150	119	144	204	119	7528.00	52.82176207876573	762366.06
933	194	214	293	232	40	50	52	41	30	47	46	77	61	54	94	70	52	49	80	43	2916.00	56.27009646302251	289424.93
1287	302	301	368	316	74	71	66	61	35	65	64	114	91	73	124	70	72	69	108	59	3942.00	53.14685314685315	398697.75
297	77	60	77	83	16	23	10	20	13	8	21	17	14	15	25	22	27	13	26	13	914.00	53.872053872053876	91737.45
5497803	1361337	1358027	1392377	1386062	303703	370795	283789	303693	254367	303574	316392	384374	319775	303523	444360	275518	384135	280815	399495	273246	16552484.00	50.53726006552072	1698684821.39
5497149	1361113	1357975	1392201	1385860	303646	370758	283744	303637	254338	303574	316403	384335	319728	303506	444288	275483	384073	280812	399443	273177	16550420.00	50.536396230118555	1698482490.12
954	253	208	255	238	62	51	52	61	40	33	58	73	68	54	74	51	56	66	71	42	2894.00	51.677148846960165	295304.22
588	137	134	174	143	28	32	35	34	24	26	24	51	45	38	53	34	32	29	50	26	1810.00	53.91156462585034	182324.02
5498013	1361361	1358132	1392416	1386104	303709	370821	283784	303689	254378	303600	316436	384389	319783	303529	444372	275527	384133	280853	399511	273241	16553066.00	50.536803023201294	1698749263.29
5497866	1361364	1358047	1392394	1386061	303715	370806	283791	303692	254373	303577	316407	384373	319787	303525	444355	275526	384129	280822	399503	273239	16552642.00	50.53697198149246	1698704669.14
5498175	1361432	1358122	1392454	1386167	303730	370824	283808	303706	254381	303594	316434	384392	319793	303533	444391	275531	384164	280850	399517	273263	16553592.00	50.53715096372888	1698799187.30
1917	537	395	509	476	143	94	108	135	69	60	97	157	152	110	145	89	116	119	142	87	5804.00	51.382368283776735	593582.56
1131	276	232	345	278	65	44	75	64	32	44	51	86	78	79	104	75	73	46	100	49	3508.00	55.08399646330681	351004.41
5498370	1361478	1358180	1392516	1386196	303741	370841	283820	303705	254390	303610	316437	384409	319805	303549	444413	275543	384171	280846	399538	273267	16554164.00	50.5370136967865	1698860035.04
1167	217	351	334	265	35	86	37	46	56	81	75	118	60	73	100	82	54	90	77	40	3532.00	51.32819194515853	361343.59
900	225	247	233	195	52	67	49	38	46	60	44	76	61	48	73	44	47	51	57	34	2656.00	47.55555555555556	278720.62
5496129	1360836	1357479	1392065	1385749	303597	370614	283701	303611	254196	303446	316314	384253	319693	303413	444299	275464	384037	280736	399451	273169	16547886.00	50.5412809633835	1698167980.91
