189	65	53	34	37	15	14	13	15	16	13	9	12	10	9	9	5	15	14	3	4	520.00	37.56613756613756	58391.40
80	27	13	19	21	8	0	6	9	3	4	1	2	5	4	5	4	7	2	6	4	240.00	50.0	24756.83
5498578	1361525	1358234	1392563	1386256	303748	370852	283832	303721	254399	303623	316457	384421	319817	303561	444426	275552	384189	280864	399551	273278	16554794.00	50.53704794221343	1698924005.77
213	70	52	49	42	20	21	14	8	14	12	13	8	18	5	11	12	11	10	12	7	608.00	42.72300469483568	66037.24
928	225	245	224	234	53	71	47	36	40	57	73	59	49	43	83	42	65	58	69	39	2772.00	49.35344827586207	286427.47
2275	624	487	564	600	152	157	138	113	97	102	122	139	139	97	207	104	173	103	166	136	6878.00	51.16483516483517	702782.17
1708	484	338	427	459	117	115	101	100	83	64	71	105	104	76	155	79	129	67	129	111	5188.00	51.87353629976581	527732.63
114	25	36	24	29	6	4	5	7	5	8	13	8	6	9	4	3	5	12	7	4	334.00	46.49122807017544	35086.35
600	176	106	156	162	43	33	50	33	21	23	24	32	37	32	55	28	58	12	42	40	1836.00	53.0	185590.41
1427	369	334	350	374	87	92	95	63	55	77	83	90	72	77	130	60	124	58	94	82	4302.00	50.735809390329365	440567.80
1142	256	314	284	288	51	75	65	44	46	80	74	80	54	66	108	49	85	59	83	54	3428.00	50.08756567425569	352494.38
780	206	227	185	162	44	60	46	37	43	59	41	56	53	46	49	30	47	33	47	29	2254.00	44.48717948717949	241340.95
88	25	21	21	21	8	7	3	4	7	4	6	2	3	2	5	6	4	5	6	4	260.00	47.72727272727273	27222.38
312	69	74	79	90	13	14	18	18	13	15	24	21	16	19	23	16	22	25	19	21	962.00	54.166666666666664	96173.19
737	205	221	134	177	48	66	30	42	56	57	60	32	38	24	40	24	45	57	40	31	2096.00	42.198100407055634	226750.81
65	17	15	19	14	2	4	6	3	3	5	3	2	6	2	3	6	4	2	3	3	196.00	50.76923076923077	20208.88
3460	993	1081	686	700	222	335	180	165	282	266	208	233	186	201	158	123	213	186	132	142	9692.00	40.05780346820809	1068127.43
3145	863	1023	635	624	190	303	158	140	255	259	177	225	163	191	155	113	184	162	126	131	8808.00	40.031796502384736	971000.06
1265	338	446	248	233	80	113	55	64	93	132	75	92	66	81	51	45	74	65	51	38	3492.00	38.023715415019765	390574.40
2255	657	843	397	358	158	245	107	87	186	239	153	165	119	131	70	65	135	127	48	43	6020.00	33.48115299334812	696451.38
2153	624	782	401	346	145	229	115	77	179	209	135	165	116	124	91	60	127	125	51	41	5800.00	34.69577333952624	665406.42
597	132	186	143	136	23	38	37	26	30	52	32	51	34	37	50	21	37	37	33	25	1752.00	46.733668341708544	184346.38
5498577	1361524	1358234	1392563	1386256	303748	370851	283832	303721	254399	303623	316457	384421	319816	303561	444426	275552	384189	280864	399551	273278	16554792.00	50.53705713314554	1698923692.56
87	30	15	18	24	9	7	5	3	6	1	4	4	4	1	9	4	5	5	5	7	258.00	48.275862068965516	26843.18
65	18	21	15	11	5	6	4	1	5	7	3	4	3	4	5	3	3	2	3	2	182.00	40.0	20162.88
166	41	54	32	39	9	17	6	6	11	11	14	12	6	8	12	6	12	13	8	4	474.00	42.7710843373494	51098.59
455	126	178	75	76	36	49	17	11	35	54	21	39	16	25	25	7	26	22	10	16	1212.00	33.18681318681319	140296.68
225	62	81	43	39	14	27	8	10	19	22	14	14	15	9	9	9	12	10	11	5	614.00	36.44444444444444	69510.41
252	70	91	48	43	16	29	10	12	20	26	14	16	18	10	9	10	13	12	11	6	686.00	36.111111111111114	77860.75
708	157	158	173	220	32	49	25	45	23	22	53	49	33	41	61	32	64	34	61	51	2202.00	55.50847457627118	217826.58
1380	312	315	333	420	71	90	57	75	44	65	103	78	59	68	129	65	120	67	121	92	4266.00	54.56521739130435	424641.22
2446	576	614	586	670	126	176	125	111	95	148	181	128	122	121	210	113	196	106	200	143	7404.00	51.34914145543745	753866.05
2843	652	725	721	745	133	202	144	141	119	168	191	169	151	163	227	150	218	113	228	165	8618.00	51.56524797748857	877566.62
2487	548	614	636	689	99	154	124	140	108	137	163	148	118	150	208	138	193	114	204	151	7624.00	53.27704061117812	767051.01
2686	684	590	669	743	137	162	173	175	118	121	165	141	152	151	206	141	241	110	195	159	8196.00	52.56887565152643	828826.07
1992	560	496	474	462	128	156	127	120	111	118	101	120	129	109	125	96	164	66	116	95	5856.00	46.98795180722892	615939.07
5498574	1361523	1358233	1392562	1386256	303748	370851	283832	303720	254398	303623	316457	384420	319816	303561	444426	275552	384189	280864	399551	273278	16554784.00	50.53706651942849	1698922745.96
57	18	14	11	14	6	3	1	6	3	3	2	5	3	3	3	2	4	3	3	2	164.00	43.85964912280702	17584.25
107	32	35	20	20	8	10	3	8	10	8	5	7	6	4	5	3	5	8	5	2	294.00	37.38317757009346	33055.14
5498570	1361522	1358232	1392560	1386256	303748	370850	283831	303721	254398	303623	316457	384420	319816	303561	444425	275551	384188	280864	399551	273278	16554772.00	50.537066910123905	1698921470.14
80	22	25	20	13	4	3	8	5	5	6	3	6	6	7	4	2	5	3	3	1	226.00	41.25	24856.87
85	26	27	17	15	2	12	5	6	12	5	4	5	6	6	3	2	5	2	5	2	234.00	37.64705882352941	26308.83
